mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_learning_rate,param_max_depth,param_n_estimators,param_reg_lambda,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score
4.180103278160095,1.9943675735916069,0.010572576522827148,0.0013153872936341473,0.05,5,80,0.3,"{'learning_rate': 0.05, 'max_depth': 5, 'n_estimators': 80, 'reg_lambda': 0.3}",-0.44879831482190563,-0.37271834841548124,-0.4143076897584323,-0.43380703921285824,-0.37534421882113334,-0.4350589628162546,-0.41694252846457397,-0.4199454348741527,-0.37596966395576803,-0.5266651966625423,-0.42195573978031026,0.04335444843904265,1
0.19687128067016602,0.015334594793889898,0.009484052658081055,0.0004902654872328806,0.05,5,80,0.5,"{'learning_rate': 0.05, 'max_depth': 5, 'n_estimators': 80, 'reg_lambda': 0.5}",-0.44651829379558045,-0.3783364977192894,-0.4109417856951332,-0.4384077553906908,-0.3704284405729065,-0.4384363547649421,-0.42187715553847366,-0.42404700956235786,-0.37009999538790783,-0.5230616754338713,-0.4222154963861152,0.04328942119566921,2
0.2250267744064331,0.006173199355972947,0.009374523162841797,0.0007403178616628255,0.05,5,100,0.3,"{'learning_rate': 0.05, 'max_depth': 5, 'n_estimators': 100, 'reg_lambda': 0.3}",-0.45719072253667065,-0.383715687166968,-0.41364930228972024,-0.4274486649715847,-0.3791314702765668,-0.439977674985437,-0.4157967101015811,-0.42145048095542875,-0.3755577318740575,-0.5269953676843226,-0.42409138128423374,0.042591502469781585,5
0.2645586967468262,0.020971043855699673,0.00948019027709961,0.0011692095434779766,0.05,5,100,0.5,"{'learning_rate': 0.05, 'max_depth': 5, 'n_estimators': 100, 'reg_lambda': 0.5}",-0.4575639089877174,-0.3830371598755515,-0.40794205580790677,-0.4304428248076773,-0.3712438843988025,-0.43696596592099074,-0.42019642691360337,-0.4262070962010921,-0.3708041896184185,-0.5294410527046141,-0.4233844565236374,0.04474186090020039,3
0.2107908010482788,0.0045832393058215,0.009224915504455566,0.0006456560752213084,0.05,7,80,0.3,"{'learning_rate': 0.05, 'max_depth': 7, 'n_estimators': 80, 'reg_lambda': 0.3}",-0.4430432623675545,-0.37776208455260263,-0.4209877255369035,-0.4350737511894234,-0.3736894914874675,-0.44159552434148563,-0.42884878627012696,-0.4202274644759679,-0.3745565993659775,-0.5202335184460795,-0.42360182080335884,0.04149064882310631,4
0.21603457927703856,0.006669537032630089,0.009600520133972168,0.0004119825480162242,0.05,7,80,0.5,"{'learning_rate': 0.05, 'max_depth': 7, 'n_estimators': 80, 'reg_lambda': 0.5}",-0.45207018579169106,-0.3726862812013201,-0.41837159001111646,-0.4356028865796365,-0.3796216321382608,-0.44709175082156066,-0.4207844351753197,-0.42221025081604463,-0.38242279292346526,-0.5211258592647344,-0.4251987664723149,0.04153465645496492,6
0.2544590711593628,0.00428520698600996,0.009678959846496582,0.0005438362203628777,0.05,7,100,0.3,"{'learning_rate': 0.05, 'max_depth': 7, 'n_estimators': 100, 'reg_lambda': 0.3}",-0.45531309865113767,-0.380406304192473,-0.4185207208306071,-0.42984295304753056,-0.37401332929588726,-0.44605101546877224,-0.43205247765219607,-0.4224837842194996,-0.38085176507826074,-0.5255021572280109,-0.4265037605664375,0.04254281235274111,7
0.25546348094940186,0.007417396391619046,0.009612798690795898,0.000730032371100472,0.05,7,100,0.5,"{'learning_rate': 0.05, 'max_depth': 7, 'n_estimators': 100, 'reg_lambda': 0.5}",-0.4636934993945337,-0.38100981608233514,-0.41586071178028516,-0.4338290086100263,-0.3802850845187377,-0.4468670676690046,-0.4202212141532532,-0.4238174756207745,-0.38625089554436154,-0.5262909928609684,-0.427812576623428,0.04216382464858432,9
0.1852430820465088,0.010917448478784283,0.00976870059967041,0.0005602054181150599,0.1,5,80,0.3,"{'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 80, 'reg_lambda': 0.3}",-0.4681808495404504,-0.38982125625731967,-0.402777005970934,-0.4261638676836087,-0.39066292778822975,-0.4550108870323668,-0.40446348155726597,-0.4323586357485916,-0.38647601638976387,-0.5410886898130394,-0.429700361778157,0.04570851016558981,10
0.18469014167785644,0.009645750770877948,0.009720754623413087,0.0006004867698839503,0.1,5,80,0.5,"{'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 80, 'reg_lambda': 0.5}",-0.46575210298364855,-0.3876556603953683,-0.40584348903691986,-0.42166875684580457,-0.37756382287795276,-0.45016423091403557,-0.4092812399857738,-0.42682749873866005,-0.38897048846581134,-0.5373226116384335,-0.42710499018824083,0.04520778276640586,8
